terms,level_1,level_2,level_3,type,Number
metabolite_utilization.D-arabinose.builds_acid_from,metabolite_utilization,builds_acid_from,D-arabinose,0,75
metabolite_utilization.D-xylose.builds_acid_from,metabolite_utilization,builds_acid_from,D-xylose,0,74
metabolite_utilization.Potassium_2-ketogluconate.builds_acid_from,metabolite_utilization,builds_acid_from,Potassium_2-ketogluconate,0,74
metabolite_utilization.L-fucose.builds_acid_from,metabolite_utilization,builds_acid_from,L-fucose,0,72
metabolite_utilization.salicin.builds_acid_from,metabolite_utilization,builds_acid_from,salicin,0,71
metabolite_utilization.sorbitol.builds_acid_from,metabolite_utilization,builds_acid_from,sorbitol,0,71
metabolite_utilization.lactose.builds_acid_from,metabolite_utilization,builds_acid_from,lactose,0,68
metabolite_utilization.sucrose.builds_acid_from,metabolite_utilization,builds_acid_from,sucrose,0,65
metabolite_utilization.melibiose.builds_acid_from,metabolite_utilization,builds_acid_from,melibiose,0,63
metabolite_utilization.gluconate.builds_acid_from,metabolite_utilization,builds_acid_from,gluconate,0,60
metabolite_utilization.methyl_alpha-D-glucopyranoside.builds_acid_from,metabolite_utilization,builds_acid_from,methyl_alpha-D-glucopyranoside,0,59
metabolite_utilization.starch.builds_acid_from,metabolite_utilization,builds_acid_from,starch,0,58
metabolite_utilization.D-ribose.builds_acid_from,metabolite_utilization,builds_acid_from,D-ribose,0,55
metabolite_utilization.maltose.builds_acid_from,metabolite_utilization,builds_acid_from,maltose,0,52
metabolite_utilization.Potassium_5-ketogluconate.builds_acid_from,metabolite_utilization,builds_acid_from,Potassium_5-ketogluconate,0,52
metabolite_utilization.amygdalin.builds_acid_from,metabolite_utilization,builds_acid_from,amygdalin,0,49
metabolite_utilization.turanose.builds_acid_from,metabolite_utilization,builds_acid_from,turanose,0,47
metabolite_utilization.gentiobiose.builds_acid_from,metabolite_utilization,builds_acid_from,gentiobiose,0,46
metabolite_utilization.N-acetylglucosamine.builds_acid_from,metabolite_utilization,builds_acid_from,N-acetylglucosamine,0,42
metabolite_utilization.arbutin.builds_acid_from,metabolite_utilization,builds_acid_from,arbutin,0,41
metabolite_utilization.D-mannose.builds_acid_from,metabolite_utilization,builds_acid_from,D-mannose,0,38
metabolite_utilization.hippurate.hydrolysis,metabolite_utilization,hydrolysis,hippurate,0,36
metabolite_utilization.D-galactose.builds_acid_from,metabolite_utilization,builds_acid_from,D-galactose,0,32
